9/10/2019,Average Tone,0.9053
10/10/2019,Average Tone,0.6764
11/10/2019,Average Tone,2.1711
12/10/2019,Average Tone,0.1333
13/10/2019,Average Tone,0.6912
14/10/2019,Average Tone,0
15/10/2019,Average Tone,2.8236
16/10/2019,Average Tone,0
17/10/2019,Average Tone,0.733
18/10/2019,Average Tone,0.3045
19/10/2019,Average Tone,0.5421
20/10/2019,Average Tone,0
21/10/2019,Average Tone,1.1429
22/10/2019,Average Tone,2.4838
23/10/2019,Average Tone,1.8666
24/10/2019,Average Tone,2.2031
25/10/2019,Average Tone,1.952
26/10/2019,Average Tone,0.1094
27/10/2019,Average Tone,0
28/10/2019,Average Tone,1.505
29/10/2019,Average Tone,0.9033
30/10/2019,Average Tone,-1.9446
31/10/2019,Average Tone,0.6153
1/11/2019,Average Tone,0.705
2/11/2019,Average Tone,0
3/11/2019,Average Tone,1.1918
4/11/2019,Average Tone,2.0844
5/11/2019,Average Tone,2.3226
6/11/2019,Average Tone,2.2474
7/11/2019,Average Tone,0.4145
8/11/2019,Average Tone,1.0669
9/11/2019,Average Tone,0.761
10/11/2019,Average Tone,0
11/11/2019,Average Tone,1.5346
12/11/2019,Average Tone,0.8826
13/11/2019,Average Tone,0.0436
14/11/2019,Average Tone,2.3396
15/11/2019,Average Tone,2.3305
16/11/2019,Average Tone,0.452
17/11/2019,Average Tone,1.0438
18/11/2019,Average Tone,0.3078
19/11/2019,Average Tone,3.7124
20/11/2019,Average Tone,-2.3135
21/11/2019,Average Tone,0
22/11/2019,Average Tone,1.673
23/11/2019,Average Tone,0
24/11/2019,Average Tone,0
25/11/2019,Average Tone,2.7778
26/11/2019,Average Tone,0
27/11/2019,Average Tone,0.7744
28/11/2019,Average Tone,7.7922
29/11/2019,Average Tone,2.0833
30/11/2019,Average Tone,0
1/12/2019,Average Tone,0
2/12/2019,Average Tone,1.9259
3/12/2019,Average Tone,1.5582
4/12/2019,Average Tone,0.2157
5/12/2019,Average Tone,1.3003
6/12/2019,Average Tone,0
7/12/2019,Average Tone,2.089
8/12/2019,Average Tone,0
9/12/2019,Average Tone,0
10/12/2019,Average Tone,-0.4866
11/12/2019,Average Tone,0.1148
12/12/2019,Average Tone,0
13/12/2019,Average Tone,0.9858
14/12/2019,Average Tone,-1.5595
15/12/2019,Average Tone,0
16/12/2019,Average Tone,3.2403
17/12/2019,Average Tone,1.3746
18/12/2019,Average Tone,0.9605
19/12/2019,Average Tone,0.885
20/12/2019,Average Tone,0.4579
21/12/2019,Average Tone,0
22/12/2019,Average Tone,0
23/12/2019,Average Tone,0
24/12/2019,Average Tone,2.1338
25/12/2019,Average Tone,0
26/12/2019,Average Tone,2.0727
27/12/2019,Average Tone,1.4625
28/12/2019,Average Tone,0
29/12/2019,Average Tone,0
30/12/2019,Average Tone,0
31/12/2019,Average Tone,0
1/1/2020,Average Tone,0
2/1/2020,Average Tone,0
3/1/2020,Average Tone,0
4/1/2020,Average Tone,0
5/1/2020,Average Tone,0
6/1/2020,Average Tone,0
7/1/2020,Average Tone,2.0457
8/1/2020,Average Tone,1.9607
9/1/2020,Average Tone,0.5369
10/1/2020,Average Tone,1.6548
11/1/2020,Average Tone,0
12/1/2020,Average Tone,0
13/1/2020,Average Tone,0
14/1/2020,Average Tone,0
15/1/2020,Average Tone,0
16/1/2020,Average Tone,-0.6387
17/1/2020,Average Tone,0.5367
18/1/2020,Average Tone,0
19/1/2020,Average Tone,0
20/1/2020,Average Tone,0.1917
21/1/2020,Average Tone,2.5896
22/1/2020,Average Tone,3.6772
23/1/2020,Average Tone,0
24/1/2020,Average Tone,0
25/1/2020,Average Tone,0
26/1/2020,Average Tone,0
27/1/2020,Average Tone,1.6369
28/1/2020,Average Tone,0.4073
29/1/2020,Average Tone,0
30/1/2020,Average Tone,0
31/1/2020,Average Tone,0
1/2/2020,Average Tone,0
2/2/2020,Average Tone,0
3/2/2020,Average Tone,0.5181
4/2/2020,Average Tone,0
5/2/2020,Average Tone,1.967
6/2/2020,Average Tone,0.126
7/2/2020,Average Tone,1.7863
8/2/2020,Average Tone,0
9/2/2020,Average Tone,0
10/2/2020,Average Tone,0
11/2/2020,Average Tone,2.7692
12/2/2020,Average Tone,0
13/2/2020,Average Tone,0
14/2/2020,Average Tone,0
15/2/2020,Average Tone,0
16/2/2020,Average Tone,0
17/2/2020,Average Tone,0.6858
18/2/2020,Average Tone,0.1626
19/2/2020,Average Tone,2.6498
20/2/2020,Average Tone,-0.1382
21/2/2020,Average Tone,0
22/2/2020,Average Tone,0
23/2/2020,Average Tone,0
24/2/2020,Average Tone,0
25/2/2020,Average Tone,0
26/2/2020,Average Tone,0
27/2/2020,Average Tone,0.6615
28/2/2020,Average Tone,0.6195
29/2/2020,Average Tone,-0.9259
1/3/2020,Average Tone,0
